Chr01	10493006
Chr01	11627133
Chr01	37159180
Chr01	42593458
Chr03	21276081
Chr05	2876489
Chr05	2876746
Chr05	2876761
Chr05	2880150
Chr05	2880315
Chr05	2880359
Chr05	2880365
Chr05	2881531
Chr05	19297149
Chr05	22741166
Chr06	18970201
Chr08	4670378
Chr08	4911077
Chr14	7694894
Chr18	853986
Chr18	16277337
Chr18	16277345
Chr18	16277354
Chr18	16277355
Chr18	16277378
Chr18	16277381
Chr18	16277383
Chr18	16277387
Chr18	16277388
Chr18	16277389
Chr18	16277390
Chr18	16277419
Chr18	16277420
Chr18	16277442
Chr18	16277475
Chr18	16277556
Chr18	16277588
Chr18	16277598
Chr18	16277601
Chr18	16277609
Chr18	16277616
Chr18	16277654
Chr18	16277691
Chr18	16277835
